id,genre,genre_id
ts84663,comedy,4
ts84663,drama,3
ts90869,drama,3
ts90869,romance,1
ts113109,animation,16
tm852172,comedy,4
tm852172,action,6
tm852172,animation,16
tm852172,romance,1
tm852172,family,10
tm852172,horror,15
tm852172,drama,3
tm852172,scifi,17
tm850404,thriller,7
tm850404,crime,2
tm850404,drama,3
tm850404,romance,1
tm370144,animation,16
tm370144,comedy,4
tm370144,family,10
tm370144,scifi,17
ts78692,documentation,14
ts78692,scifi,17
ts78692,thriller,7
ts78692,horror,15
ts78692,music,5
tm369315,thriller,7
tm369315,drama,3
tm425748,comedy,4
tm425748,romance,1
tm371619,thriller,7
tm371619,horror,15
ts80479,comedy,4
ts80479,drama,3
ts80479,romance,1
tm843958,action,6
tm847623,action,6
tm847623,war,8
ts113031,reality,19
tm374216,documentation,14
tm417392,drama,3
tm417392,history,9
tm417392,romance,1
tm417392,war,8
ts95572,drama,3
ts95572,thriller,7
ts95572,crime,2
tm404856,comedy,4
tm404856,crime,2
tm404856,thriller,7
tm404856,action,6
ts31514,animation,16
ts31514,family,10
tm452851,thriller,7
tm452851,action,6
tm452851,drama,3
ts113842,thriller,7
ts113842,crime,2
ts113842,drama,3
ts87224,scifi,17
ts87224,drama,3
ts87224,fantasy,11
ts85618,comedy,4
ts85618,family,10
ts88471,drama,3
ts88471,romance,1
tm373864,comedy,4
ts79219,crime,2
ts79219,action,6
ts79219,documentation,14
tm372891,comedy,4
tm372891,documentation,14
ts81344,documentation,14
tm235005,thriller,7
tm235005,drama,3
tm235005,action,6
tm376844,comedy,4
ts89315,comedy,4
ts113748,animation,16
ts113748,action,6
ts113748,comedy,4
ts113748,family,10
ts113748,fantasy,11
tm861000,history,9
tm861000,drama,3
ts80751,comedy,4
tm949905,crime,2
tm949905,thriller,7
tm949905,action,6
tm363231,scifi,17
tm363231,animation,16
tm363231,action,6
ts80523,animation,16
ts80523,music,5
ts80523,romance,1
ts80523,comedy,4
ts80523,drama,3
ts79026,drama,3
ts79026,scifi,17
ts79026,horror,15
ts79026,romance,1
ts79026,thriller,7
ts86978,animation,16
ts86978,scifi,17
ts86978,action,6
ts86978,comedy,4
ts86978,drama,3
ts86978,fantasy,11
ts86978,thriller,7
tm423315,documentation,14
ts89696,drama,3
ts89696,crime,2
ts113637,documentation,14
ts113637,crime,2
ts80962,comedy,4
ts80962,animation,16
tm440946,romance,1
tm440946,drama,3
tm455568,drama,3
tm455568,comedy,4
tm373452,comedy,4
tm373452,drama,3
tm373452,romance,1
tm373452,thriller,7
tm408781,drama,3
tm408781,comedy,4
tm408781,crime,2
tm408781,romance,1
tm408781,action,6
ts80090,drama,3
ts80090,comedy,4
ts80090,animation,16
tm373134,comedy,4
ts80600,drama,3
ts80600,romance,1
ts80600,history,9
ts80600,music,5
tm428506,action,6
tm428506,comedy,4
tm433462,horror,15
tm433462,thriller,7
tm433462,music,5
tm433462,comedy,4
ts83561,scifi,17
ts83561,action,6
ts83561,drama,3
ts83561,fantasy,11
ts83561,thriller,7
ts83561,music,5
tm417440,documentation,14
ts112733,action,6
ts112733,drama,3
ts112733,thriller,7
tm267429,drama,3
tm267429,documentation,14
tm416105,comedy,4
tm416105,music,5
tm416105,documentation,14
tm441232,romance,1
tm441232,comedy,4
tm371188,romance,1
tm371188,comedy,4
tm371188,drama,3
ts79997,drama,3
ts79997,romance,1
ts85034,comedy,4
tm375836,comedy,4
tm359975,thriller,7
tm359975,crime,2
tm359975,drama,3
ts79330,reality,19
ts79330,documentation,14
tm369389,documentation,14
tm369389,history,9
tm369389,european,13
tm452574,comedy,4
tm452574,documentation,14
ts81064,scifi,17
ts81064,drama,3
ts81064,fantasy,11
ts81064,horror,15
ts84780,drama,3
ts84780,thriller,7
ts84780,action,6
ts84780,crime,2
tm417553,action,6
tm417553,thriller,7
tm417553,comedy,4
tm411358,documentation,14
tm376801,documentation,14
tm404475,documentation,14
tm463806,documentation,14
ts85480,scifi,17
ts85480,music,5
ts85480,animation,16
ts85480,drama,3
ts95274,documentation,14
ts95274,history,9
tm423624,drama,3
tm423624,romance,1
tm423624,comedy,4
tm422715,horror,15
tm422715,comedy,4
tm374226,comedy,4
tm448792,thriller,7
tm448792,crime,2
tm448792,scifi,17
ts86726,reality,19
ts89336,animation,16
ts89336,family,10
ts112667,animation,16
ts112667,comedy,4
ts112667,family,10
ts79409,scifi,17
ts79409,animation,16
ts79409,action,6
tm836662,family,10
tm836662,sport,18
tm410748,documentation,14
tm428558,drama,3
tm428558,sport,18
ts84372,comedy,4
tm973335,thriller,7
tm973335,comedy,4
tm458328,thriller,7
tm458328,crime,2
tm458328,drama,3
tm349134,comedy,4
tm408941,documentation,14
ts83745,comedy,4
tm404828,comedy,4
tm915043,comedy,4
tm1110150,thriller,7
tm1110150,horror,15
ts83025,documentation,14
ts85276,drama,3
ts85276,history,9
ts85276,music,5
ts85276,romance,1
ts80411,action,6
ts80411,crime,2
ts80411,drama,3
ts80411,thriller,7
ts89876,comedy,4
ts79695,crime,2
ts79695,drama,3
ts79695,music,5
tm413082,documentation,14
tm434917,drama,3
tm434917,romance,1
tm434917,european,13
tm418847,horror,15
tm418847,thriller,7
tm418847,fantasy,11
tm418847,drama,3
tm418847,scifi,17
tm418847,comedy,4
tm418847,european,13
tm458553,comedy,4
tm458553,drama,3
ts112279,history,9
ts112279,documentation,14
tm455161,romance,1
tm455161,action,6
tm455161,drama,3
tm455161,history,9
tm455161,war,8
tm405849,drama,3
tm405849,animation,16
tm405849,romance,1
tm408306,comedy,4
tm408306,documentation,14
tm503508,romance,1
tm503508,thriller,7
tm503508,crime,2
tm503508,drama,3
tm443186,documentation,14
tm420455,comedy,4
tm420455,scifi,17
tm420455,action,6
ts271888,scifi,17
ts271888,drama,3
ts271888,fantasy,11
ts271888,action,6
tm858471,romance,1
tm858471,drama,3
ts81526,documentation,14
ts83359,drama,3
ts83359,thriller,7
ts83359,comedy,4
ts83359,history,9
ts83359,romance,1
ts83359,action,6
ts80313,documentation,14
ts80313,drama,3
tm464557,romance,1
tm464557,comedy,4
tm407881,comedy,4
tm407881,european,13
tm1081074,drama,3
tm418039,fantasy,11
tm418039,action,6
tm418039,comedy,4
tm418039,scifi,17
tm418039,animation,16
tm435836,drama,3
ts84661,scifi,17
ts84661,action,6
ts84661,drama,3
ts84661,fantasy,11
tm447755,drama,3
tm447755,comedy,4
tm447755,family,10
tm139870,comedy,4
tm139870,thriller,7
tm139870,drama,3
tm139870,action,6
tm139870,crime,2
tm823302,romance,1
tm823302,animation,16
tm823302,comedy,4
tm823302,drama,3
tm404449,documentation,14
ts81318,action,6
ts81318,war,8
ts81318,drama,3
tm406831,fantasy,11
tm406831,animation,16
tm406831,drama,3
tm406831,family,10
tm406831,comedy,4
tm824398,horror,15
tm824398,scifi,17
tm824398,thriller,7
tm824398,european,13
tm453994,drama,3
tm453994,european,13
tm1038369,romance,1
tm1038369,comedy,4
tm431169,documentation,14
tm431169,sport,18
ts83540,comedy,4
ts83540,crime,2
ts83540,animation,16
ts83540,action,6
ts85170,action,6
ts85170,scifi,17
ts85170,thriller,7
ts85170,drama,3
ts85170,romance,1
tm863919,comedy,4
tm863919,family,10
tm863919,animation,16
tm460360,drama,3
tm460360,comedy,4
tm460360,european,13
ts81583,drama,3
ts81583,thriller,7
tm897170,thriller,7
tm897170,drama,3
tm897170,horror,15
ts58061,drama,3
ts58061,romance,1
tm407827,drama,3
tm407827,european,13
ts111582,music,5
tm502532,documentation,14
tm408104,comedy,4
tm438994,romance,1
tm438994,comedy,4
tm438994,drama,3
tm438994,fantasy,11
tm415938,drama,3
tm373471,comedy,4
tm373471,drama,3
tm373471,romance,1
ts80466,war,8
ts80466,documentation,14
ts80466,history,9
ts80466,european,13
tm411507,comedy,4
tm420789,thriller,7
tm444564,thriller,7
tm444564,comedy,4
tm444564,romance,1
ts85895,scifi,17
ts85895,drama,3
tm445153,comedy,4
tm445153,drama,3
ts88613,documentation,14
ts88613,sport,18
ts83657,scifi,17
ts83657,horror,15
ts83657,drama,3
ts83657,fantasy,11
ts83657,crime,2
ts83657,thriller,7
ts80030,reality,19
ts80030,documentation,14
tm502151,comedy,4
tm502151,drama,3
tm502151,european,13
tm984155,horror,15
tm984155,thriller,7
ts82892,crime,2
ts82892,documentation,14
tm423373,thriller,7
tm423373,music,5
tm423373,drama,3
tm423373,comedy,4
tm423373,crime,2
tm475815,romance,1
tm475815,sport,18
tm475815,comedy,4
tm475815,drama,3
ts87008,drama,3
ts87008,comedy,4
ts87008,music,5
tm912100,drama,3
tm912100,sport,18
tm912100,thriller,7
tm317542,horror,15
tm317542,crime,2
tm317542,documentation,14
tm317542,drama,3
tm317542,thriller,7
tm76557,comedy,4
tm76557,drama,3
tm373655,drama,3
tm373655,music,5
ts111206,comedy,4
ts111206,crime,2
ts111206,drama,3
ts111206,family,10
ts111206,animation,16
ts111206,action,6
tm444799,romance,1
tm444799,comedy,4
tm444799,crime,2
ts94677,crime,2
ts94677,documentation,14
ts94677,drama,3
ts94677,thriller,7
