id,title,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,is_best_movie_by_year,is_best_movie,is_best_show_by_year,is_best_show
tm56033,Croupier,1998,R,94,tt0159382,7.0,21382,0,1,0,0
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,1981,,133,tt0159510,7.2,1242,0,0,0,0
tm49037,Mobile Suit Gundam III: Encounters in Space,1982,,144,tt0159511,7.7,1210,0,0,0,0
tm21596,Hollow Man,2000,R,112,tt0164052,5.8,130099,0,0,0,0
tm17721,Under Suspicion,2000,R,110,tt0164212,6.5,25432,0,0,0,0
tm55100,Dil Se..,1998,PG-13,163,tt0164538,7.5,28409,0,1,0,0
tm58893,Duplicate,1998,PG,165,tt0164550,5.5,7557,0,0,0,0
ts21223,Pokémon,1997,TV-Y7,22,tt0168366,7.6,172,0,0,0,0
tm43399,Lagaan: Once Upon a Time in India,2001,PG,224,tt0169102,8.1,111053,1,1,0,0
tm200475,"Beirut, Oh Beirut",1975,,110,tt0169599,6.5,106,0,0,0,0
tm190835,Neon Genesis Evangelion: The End of Evangelion,1997,,87,tt0169858,8.0,51938,1,1,0,0
tm449775,Shikari,1991,,162,tt0170416,5.9,66,0,0,0,0
tm259855,We Are All for the Fatherland,1979,,74,tt0170799,6.2,43,0,0,0,0
tm259684,Whispers,1980,,93,tt0170803,7.8,75,0,0,0,0
tm105716,Chaahat,1996,G,155,tt0172234,5.5,2837,0,0,0,0
tm44402,"Girl, Interrupted",1999,R,127,tt0172493,7.3,180532,1,1,0,0
tm67635,Kuch Kuch Hota Hai,1998,G,185,tt0172684,7.6,51640,0,1,0,0
ts22039,H,1998,TV-MA,25,tt0173554,7.4,1703,0,0,0,0
tm63514,The Last Days,1998,PG-13,87,tt0174852,7.9,4247,0,0,0,0
ts5145,The Challenge,1998,TV-14,40,tt0176095,7.8,3274,0,0,0,0
tm348735,Aakhri Adaalat,1988,,148,tt0177505,5.1,92,0,0,0,0
