person_id,name
544,Trilok Kapoor
545,Abhimanyu Sharma
546,Goga Kapoor
547,Mac Mohan
548,Paintal
549,Jagdish Raj
550,Yunus Parvez
551,Raj Khosla
552,Zaki Rostom
553,Abdel Ghani Kamar
554,Zaki Ibrahim
555,Ian MacNaughton
556,Hoda Soltan
557,Soheir El-Morshidy
558,Hesham Selim
559,Majida El Roumi
560,Ali El Sherif
561,Rajaa Hussain
562,Sid Ali Kouiret
563,Ali Mahrez
564,Rajendra Nath
565,Parveen Choudhary
566,Ajit Khan
567,D.K. Sapru
568,Leela Mishra
569,David Abraham Cheulkar
570,Asit Sen
571,Rashid Khan
572,Sunder
573,Sudhir
574,Leela Chitnis
575,Fouad El-Mohandes
576,Sanaa Younes
577,Sherihan
578,Ijlal Zaki
579,Mohamad Abou El-Hassan
580,Ahmed Rateb
581,Zakariya Mowafi
582,Ali Ragab
583,Mohsen Mohy Eldin
584,Badr Noufal
585,Mohsen Mohie Eldein
586,Adel Emam
587,Nazim Sharawy
588,Shawqy Shamekh
589,Nahed Jabr
590,Hala Fakher
591,Badr Nofal
592,Said Tarabeek
593,Samir Wali Al-Din
594,Mohamed Fadel
595,Hani Motawea
596,Hadi El Gayar
597,Soheir El-Bably
598,Abdallah Farghaly
599,جلال الشرقاوي
600,عبدالله الشيخ
601,Hossam El Din Mostafa
602,Sanjeev Kumar
603,Dev Kumar
604,Faryal
605,Mireille Maalouf
606,Joseph Bou Nassar
607,Philippe Akiki
608,Ahmed Al Zain
609,Maroun Bagdadi
610,Raaj Kumar
611,Hema Malini
612,Rakhee Gulzar
613,Vinod Mehra
614,Dulari
615,Sadhana Khote
616,Satyendra Kapoor
617,Padma Khanna
618,Mala Sinha
619,Kumkum
620,Dhumal
621,Tun Tun
622,Asrani
623,Suresh
624,Dharmendra
625,Zakir Mukhamedzhanov
626,Sofiko Chiaureli
627,Yelena Sanayeva
628,Frunzik Mkrtchyan
629,Maya-Gozel Aimedova
630,Umesh Mehra
631,Latif Faiziyev
632,Kalpana Mohan
633,Lalita Pawar
634,Pratima Devi
635,A. Salaam
636,Uttam Kumar
637,Sulakshana Pandit
638,Utpal Dutt
639,Alo Sarkar
640,Mahendra Sandhu
641,Danny Denzongpa
642,Jagdeep
643,Karan Dewan
644,Murad
645,Sabina
646,Mohammed Hussain
647,Tom Cruise
648,Kelly McGillis
649,Val Kilmer
650,Anthony Edwards
651,Tom Skerritt
652,Michael Ironside
653,John Stockwell
654,Barry Tubb
655,Rick Rossovich
656,Tim Robbins
657,Meg Ryan
658,Whip Hubley
659,Adrian Pasdar
660,James Tolkan
661,Clarence Gilyard Jr.
662,Randall Brady
663,Ron Clark
664,Frank Pesce
665,Pete Pettigrew
666,Troy Hunter
667,T.J. Cassidy
668,Tony Scott
669,Jerry Seinfeld
670,Jason Alexander
671,Michael Richards
672,Julia Louis-Dreyfus
673,Wil Wheaton
674,River Phoenix
675,Corey Feldman
676,Jerry O'Connell
677,Kiefer Sutherland
678,Casey Siemaszko
679,Gary Riley
680,Bradley Gregg
681,Jason Oliver
682,Marshall Bell
683,Frances Lee McCain
684,Bruce Kirby
685,William Bronder
686,Scott Beach
687,Richard Dreyfuss
688,John Cusack
689,Madeleine Swift
690,Popeye
691,Geanette Bobst
692,Art Burke
693,Matt Williams
694,Andy Lindberg
695,Dick Durock
696,O.B. Babbs
697,Charlie Owens
698,Kenneth Hodges
699,John Hodges
700,Susan Thorpe
701,Korey Scott Pollard
702,Rick Elliott
703,Kent W. Luttrell
704,Chance Quinn
705,Jason Naylor
706,Rob Reiner
707,James Woods
708,Elizabeth McGovern
709,Joe Pesci
710,Tuesday Weld
711,Burt Young
712,Treat Williams
713,Danny Aiello
714,Richard Bright
715,James Hayden
716,William Forsythe
717,Darlanne Fluegel
718,Larry Rapp
719,Olga Karlatos
720,Frank Gio
721,Jennifer Connelly
722,Scott Schutzman Tiler
723,Rusty Jacobs
724,Brian Bloom
725,Mike Monetti
726,Adrian Curran
727,Julie Cohen
728,Noah Moazezi
729,James Russo
730,Clem Caserta
731,Frank Sisto
732,Jerry Strivelli
733,Mike Gendel
734,Sandra Solberg
735,Margherita Pace
736,Paul Herman
737,Bruno Iannone
738,Bruno Bilotta
739,Ray Dittrich
740,Richard Foronjy
741,Mario Brega
742,Angelo Florio
743,Marcia Jean Kurtz
744,Gerard Murphy
745,Dutch Miller
746,Robert Harper
747,Amy Ryder
748,Karen Shallo
749,Frankie Caserta
750,Joey Marzella
751,Marvin Scott
752,Ann Neville
753,Joey Faye
754,Linda Ipanema
755,Tandy Cronyn
756,Richard Zobel
757,Baxter Harris
758,Arnon Milchan
759,Marty Licata
760,Estelle Harris
761,Gerritt Debeer
762,Alexander Godfrey
763,Cliff Cudney
764,Paul Farentino
765,Bruce Bahrenburg
766,Mort Freeman
767,Massimo Liti
768,Jay Zeely
769,Salvatore Billa
770,Greg Anthony
771,Scott Coffey
772,Matteo Cafiso
773,Nunzio Giuliani
774,Nelson Camp
775,Dario Iori
776,Ole Jorgensen
777,Francesca Leone
778,Chuck Low
779,Ron Nummi
780,Ryan Paris
781,Nicola Roberto
782,Gianni Sanjust
783,Alex Serra
784,Susan Spafford
785,Mark Frazer
786,Maria Pia Monicelli
787,Louise Fletcher
788,Sergio Leone
789,Billy Crystal
790,Carrie Fisher
791,Bruno Kirby
792,Steven Ford
793,Lisa Jane Persky
794,Michelle Nicastro
795,Gretchen Palmer
796,Robert Alan Beuth
797,David Burdick
798,Joe Viviani
799,Harley Jane Kozak
800,Joseph Hunt
801,Kevin Rooney
802,Franc Luz
803,Tracy Reiner
804,Kyle T. Heffner
805,Kimberley LaMarque
806,Stacey Katzin
807,Estelle Reiner
808,John Arceri
809,Connie Sawyer
810,Kuno Sponholz
811,Katherine Squire
812,Frances Chaney
813,Bernie Hern
814,Rose Wright
815,Aldo Rossi
816,Dona Hardy
817,Peter Pan
818,Jane Chung
819,Bob Ader
820,Jeff Dlugolecki
821,Nicholas Glaeser
822,Randy James
823,Stanley Moore
824,Larry Sherman
825,Marilyn Spanier
826,John Speredakos
827,Terry Vaughan
828,Anthony Welch
829,Judith Hoag
830,Elias Koteas
831,Josh Pais
832,David Forman
833,Brian Tochi
834,Leif Tilden
835,Michelan Sisti
836,Robbie Rist
837,Kevin Clash
838,James Saito
839,David McCharen
840,Toshishiro Obata
841,Michael McConnohie
842,Michael Turney
843,Jay Patterson
844,Raymond Serra
845,Sam Rockwell
846,Kenn Scott
847,Kevin Eastman
848,Skeet Ulrich
849,Scott Wolf
850,Steve Barron
851,Matthew Modine
852,Adam Baldwin
853,Vincent D'Onofrio
854,R. Lee Ermey
855,Dorian Harewood
856,Arliss Howard
857,Kevyn Major Howard
858,Ed O'Ross
859,John Terry
860,Bruce Boa
861,Kieron Jecchinis
862,Jon Stafford
863,Tim Colceri
864,Peter Edmund
865,Kirk Taylor
866,Ian Tyler
867,Gary Landon Mills
868,Sal Lopez
869,Papillon Soo
870,Ngoc Le
871,Tan Hung Francione
872,Marcus D'Amico
873,Costas Dino Chimona
874,Keith Hodiak
875,Peter Merrill
876,Herbert Norville
877,Gil Kopel
878,Philip Bailey
879,Robert E. Hartenberger
880,Steve Hudson
881,John Curtis
882,Chris Maybach
883,Gary Smith
884,Michael Anthony Williams
885,John Wilson
886,Tony Carey
887,Vivian Kubrick
888,Stanley Kubrick
889,David Palffy
890,John Ward
891,David George
892,Keith Gordon
893,Alexandra Paul
894,Robert Prosky
895,Harry Dean Stanton
896,Christine Belford
897,Roberts Blossom
898,William Ostrander
899,David Spielberg
900,Malcolm Danare
901,Steven Tash
902,Stuart Charno
903,Kelly Preston
904,Marc Poppel
905,Robert Darnell
906,Douglas Warhit
907,Richard Collier
908,Bruce French
909,Keri Montgomery
910,Jan Burrell
911,Charles Steak
912,Art Evans
913,John Richard Petersen
914,John Carpenter
915,Heather Langenkamp
916,Robert Englund
917,John Saxon
918,Ronee Blakley
919,Amanda Wyss
920,Jsu Garcia
921,Johnny Depp
922,Charles Fleischer
923,Joseph Whipp
924,Joe Unger
925,Mimi Craven
926,Jack Shea
927,Ed Call
928,Sandy Lipton
929,David Andrews
930,Jeff Levine
931,Donna Woodrum
932,Shashawnee Hall
933,Carol Pritikin
934,Brian Reise
935,Ash Adams
936,Don Hannah
937,Leslie Hoffman
938,Paul Grenier
939,Kathi Gibbs
940,Chris Tashima
941,Antonia Yannouli
942,Robert Shaye
943,Wes Craven
944,David Hasselhoff
945,Edward Mulhare
946,Patricia McPherson
947,Peter Parros
948,Robin Williams
949,John Heard
950,Julie Kavner
