id,country,production_id
ts43230,AU,19
ts41149,US,2
tm245297,US,2
tm299396,ES,18
tm232797,US,2
tm232797,FR,5
tm232797,NL,41
tm232797,GB,3
tm298339,IE,25
ts56674,US,2
tm239676,US,2
tm242108,US,2
tm285295,US,2
tm554110,NG,48
tm181550,IN,4
tm225675,US,2
ts55533,MX,27
ts35963,CN,54
ts42077,GB,3
ts42077,IT,11
tm299677,US,2
tm244880,CA,20
tm244880,US,2
tm238486,US,2
tm245235,US,2
ts83810,FR,5
ts83810,US,2
ts83810,JP,9
tm229542,US,2
ts53864,US,2
tm232090,US,2
tm245671,IN,4
tm244300,DE,17
ts75829,US,2
tm245722,US,2
tm233648,XX,69
tm240733,ES,18
tm554944,IT,11
tm554944,GB,3
ts56480,GB,3
tm156397,PH,50
tm147082,US,2
tm248010,NG,48
tm234069,TR,28
tm132524,US,2
tm316658,US,2
tm292837,ES,18
tm452826,US,2
tm452826,GB,3
ts38230,RU,64
tm245102,ES,18
tm243931,BR,23
tm244192,US,2
tm318641,US,2
tm239733,ID,51
tm239762,US,2
tm319882,GB,3
tm233362,US,2
tm272854,IN,4
tm266702,FR,5
tm840936,XX,69
tm244473,NL,41
tm244473,JO,56
tm244473,DE,17
tm409766,GB,3
tm409766,US,2
tm1021871,US,2
tm246579,US,2
ts137477,US,2
tm233561,GB,3
tm299504,ES,18
ts57327,US,2
ts43501,GB,3
ts37660,KR,38
tm267017,SE,42
tm247644,DE,17
ts38204,US,2
tm233121,TR,28
ts39017,US,2
ts42655,AU,19
ts39007,US,2
ts76417,BE,14
tm240895,US,2
tm849005,CA,20
tm155382,IN,4
tm233360,IL,65
ts54054,US,2
tm233196,US,2
tm245383,US,2
tm232710,PH,50
ts42628,US,2
tm431769,DE,17
tm431769,IN,4
tm431769,AT,49
ts55556,TW,47
ts77398,US,2
tm257629,US,2
tm313988,US,2
ts42347,US,2
ts35577,JP,9
tm232947,GB,3
tm232947,IN,4
tm227042,IN,4
tm886360,US,2
tm420745,CA,20
tm420745,US,2
tm233544,US,2
tm70652,IN,4
ts42169,JP,9
